MAPPED_TRAIT,MAPPED_TRAIT_URI,MAPPED_TRAIT_DESCRIPTION
trait in response to dabigatran etexilate,http://purl.obolibrary.org/obo/OBA_2040114,Ontology not covered
trait in response to dabigatran etexilate,http://purl.obolibrary.org/obo/OBA_2040114,Ontology not covered
prostate specific antigen amount,http://purl.obolibrary.org/obo/OBA_2050200,Ontology not covered
prostate specific antigen amount,http://purl.obolibrary.org/obo/OBA_2050200,Ontology not covered
prostate specific antigen amount,http://purl.obolibrary.org/obo/OBA_2050200,Ontology not covered
prostate specific antigen amount,http://purl.obolibrary.org/obo/OBA_2050200,Ontology not covered
prostate specific antigen amount,http://purl.obolibrary.org/obo/OBA_2050200,Ontology not covered
prostate specific antigen amount,http://purl.obolibrary.org/obo/OBA_2050200,Ontology not covered
prostate specific antigen amount,http://purl.obolibrary.org/obo/OBA_2050200,Ontology not covered
prostate specific antigen amount,http://purl.obolibrary.org/obo/OBA_2050200,Ontology not covered
prostate specific antigen amount,http://purl.obolibrary.org/obo/OBA_2050200,Ontology not covered
prostate specific antigen amount,http://purl.obolibrary.org/obo/OBA_2050200,Ontology not covered
trait in response to platinum,http://purl.obolibrary.org/obo/OBA_2040037,Ontology not covered
prostate specific antigen amount,http://purl.obolibrary.org/obo/OBA_2050200,Ontology not covered
prostate specific antigen amount,http://purl.obolibrary.org/obo/OBA_2050200,Ontology not covered
trait in response to irinotecan,http://purl.obolibrary.org/obo/OBA_2040128,Ontology not covered
trait in response to irinotecan,http://purl.obolibrary.org/obo/OBA_2040128,Ontology not covered
trait in response to irinotecan,http://purl.obolibrary.org/obo/OBA_2040128,Ontology not covered
trait in response to irinotecan,http://purl.obolibrary.org/obo/OBA_2040128,Ontology not covered
trait in response to irinotecan,http://purl.obolibrary.org/obo/OBA_2040128,Ontology not covered
trait in response to irinotecan,http://purl.obolibrary.org/obo/OBA_2040128,Ontology not covered
trait in response to irinotecan,http://purl.obolibrary.org/obo/OBA_2040128,Ontology not covered
trait in response to irinotecan,http://purl.obolibrary.org/obo/OBA_2040128,Ontology not covered
trait in response to irinotecan,http://purl.obolibrary.org/obo/OBA_2040128,Ontology not covered
trait in response to platinum,http://purl.obolibrary.org/obo/OBA_2040037,Ontology not covered
trait in response to platinum,http://purl.obolibrary.org/obo/OBA_2040037,Ontology not covered
trait in response to platinum,http://purl.obolibrary.org/obo/OBA_2040037,Ontology not covered
prostate specific antigen amount,http://purl.obolibrary.org/obo/OBA_2050200,Ontology not covered
prostate specific antigen amount,http://purl.obolibrary.org/obo/OBA_2050200,Ontology not covered
trait in response to ethanol,http://purl.obolibrary.org/obo/OBA_2040030,Ontology not covered
trait in response to ethanol,http://purl.obolibrary.org/obo/OBA_2040030,Ontology not covered
trait in response to ethanol,http://purl.obolibrary.org/obo/OBA_2040030,Ontology not covered
trait in response to paclitaxel,http://purl.obolibrary.org/obo/OBA_2040073,Ontology not covered
trait in response to paclitaxel,http://purl.obolibrary.org/obo/OBA_2040073,Ontology not covered
trait in response to paclitaxel,http://purl.obolibrary.org/obo/OBA_2040073,Ontology not covered
trait in response to paclitaxel,http://purl.obolibrary.org/obo/OBA_2040073,Ontology not covered
trait in response to paclitaxel,http://purl.obolibrary.org/obo/OBA_2040073,Ontology not covered
trait in response to paclitaxel,http://purl.obolibrary.org/obo/OBA_2040073,Ontology not covered
trait in response to paclitaxel,http://purl.obolibrary.org/obo/OBA_2040073,Ontology not covered
trait in response to paclitaxel,http://purl.obolibrary.org/obo/OBA_2040073,Ontology not covered
trait in response to paclitaxel,http://purl.obolibrary.org/obo/OBA_2040073,Ontology not covered
trait in response to paclitaxel,http://purl.obolibrary.org/obo/OBA_2040073,Ontology not covered
trait in response to paclitaxel,http://purl.obolibrary.org/obo/OBA_2040073,Ontology not covered
trait in response to paclitaxel,http://purl.obolibrary.org/obo/OBA_2040073,Ontology not covered
trait in response to paclitaxel,http://purl.obolibrary.org/obo/OBA_2040073,Ontology not covered
trait in response to bupropion,http://purl.obolibrary.org/obo/OBA_2040033,Ontology not covered
trait in response to bupropion,http://purl.obolibrary.org/obo/OBA_2040033,Ontology not covered
trait in response to bupropion,http://purl.obolibrary.org/obo/OBA_2040033,Ontology not covered
trait in response to bupropion,http://purl.obolibrary.org/obo/OBA_2040033,Ontology not covered
trait in response to bupropion,http://purl.obolibrary.org/obo/OBA_2040033,Ontology not covered
prostate specific antigen amount,http://purl.obolibrary.org/obo/OBA_2050200,Ontology not covered
prostate specific antigen amount,http://purl.obolibrary.org/obo/OBA_2050200,Ontology not covered
