MAPPED_TRAIT_URI,count
http://www.ebi.ac.uk/efo/EFO_0004464,2544
http://www.ebi.ac.uk/efo/EFO_0004713,1495
http://www.ebi.ac.uk/efo/EFO_0000676,829
http://www.ebi.ac.uk/efo/EFO_0001073,466
http://purl.obolibrary.org/obo/GO_0007623,165
http://purl.obolibrary.org/obo/GO_0061477,157
http://purl.obolibrary.org/obo/MONDO_0021187,152
http://purl.obolibrary.org/obo/GO_0009410,146
http://purl.obolibrary.org/obo/GO_0036276,134
http://www.ebi.ac.uk/efo/EFO_0004191,131
http://www.ebi.ac.uk/efo/EFO_0007783,106
http://purl.obolibrary.org/obo/GO_0097332,86
http://purl.obolibrary.org/obo/GO_0097327,73
http://www.ebi.ac.uk/efo/EFO_0004640,70
http://purl.obolibrary.org/obo/GO_0009314,62
http://purl.obolibrary.org/obo/GO_0036277,61
http://www.ebi.ac.uk/efo/EFO_1002040,58
http://purl.obolibrary.org/obo/GO_0070527,57
http://purl.obolibrary.org/obo/GO_0050916,56
http://www.ebi.ac.uk/efo/EFO_0021902,46
http://www.ebi.ac.uk/efo/EFO_0006339,42
http://purl.obolibrary.org/obo/GO_1901557,41
http://purl.obolibrary.org/obo/GO_0050913,39
http://purl.obolibrary.org/obo/GO_0036273,38
http://purl.obolibrary.org/obo/GO_0097328,37
http://purl.obolibrary.org/obo/GO_0010226,37
http://purl.obolibrary.org/obo/GO_0061476,37
http://purl.obolibrary.org/obo/GO_0007610,36
http://purl.obolibrary.org/obo/GO_0072718,33
http://purl.obolibrary.org/obo/GO_0009409,33
http://purl.obolibrary.org/obo/MONDO_0002175,31
http://purl.obolibrary.org/obo/GO_0097336,30
http://www.ebi.ac.uk/efo/EFO_0008422,30
http://purl.obolibrary.org/obo/GO_0007608,30
http://www.ebi.ac.uk/efo/EFO_0803368,29
http://purl.obolibrary.org/obo/GO_0042476,26
http://purl.obolibrary.org/obo/GO_1901556,25
http://purl.obolibrary.org/obo/GO_0060279,24
http://purl.obolibrary.org/obo/GO_0050909,23
http://www.ebi.ac.uk/efo/EFO_0006338,22
http://purl.obolibrary.org/obo/MONDO_0001583,22
http://purl.obolibrary.org/obo/HP_0000486,22
http://purl.obolibrary.org/obo/MONDO_0001639,21
http://purl.obolibrary.org/obo/GO_0031960,19
http://purl.obolibrary.org/obo/GO_0030728,19
http://purl.obolibrary.org/obo/GO_0036272,19
http://purl.obolibrary.org/obo/MONDO_0015978,18
http://purl.obolibrary.org/obo/GO_0097335,18
http://purl.obolibrary.org/obo/GO_0031427,17
http://purl.obolibrary.org/obo/GO_0044691,17
http://purl.obolibrary.org/obo/GO_0097334,16
http://purl.obolibrary.org/obo/GO_1902518,14
http://www.ebi.ac.uk/efo/EFO_0803015,14
http://www.ebi.ac.uk/efo/EFO_0802017,14
http://purl.obolibrary.org/obo/GO_0036270,14
http://purl.obolibrary.org/obo/GO_0097338,13
http://purl.obolibrary.org/obo/MONDO_0019938,13
http://purl.obolibrary.org/obo/MONDO_0015397,13
http://purl.obolibrary.org/obo/GO_1903492,12
http://purl.obolibrary.org/obo/GO_0097337,12
http://purl.obolibrary.org/obo/MONDO_0018469,11
http://purl.obolibrary.org/obo/GO_0097333,11
http://purl.obolibrary.org/obo/MONDO_0001438,11
http://www.orpha.net/ORDO/Orphanet_101960,10
http://www.ebi.ac.uk/efo/EFO_0005190,10
http://purl.obolibrary.org/obo/MONDO_0024431,10
http://purl.obolibrary.org/obo/GO_0009615,9
http://www.ebi.ac.uk/efo/EFO_0006842,9
http://purl.obolibrary.org/obo/GO_0033273,8
http://www.ebi.ac.uk/efo/EFO_0001072,8
http://purl.obolibrary.org/obo/GO_1905119,8
http://www.ebi.ac.uk/efo/EFO_0009265,7
http://purl.obolibrary.org/obo/GO_0036271,7
http://purl.obolibrary.org/obo/MONDO_0001604,6
http://purl.obolibrary.org/obo/MONDO_0001530,6
http://purl.obolibrary.org/obo/MONDO_0001369,6
http://www.ebi.ac.uk/efo/EFO_0005430,6
http://www.ebi.ac.uk/efo/EFO_0008486,6
http://purl.obolibrary.org/obo/GO_0036287,6
http://www.ebi.ac.uk/efo/EFO_0009134,6
http://purl.obolibrary.org/obo/MONDO_0022208,5
http://purl.obolibrary.org/obo/MONDO_0041052,5
http://purl.obolibrary.org/obo/GO_0007605,5
http://www.ebi.ac.uk/efo/EFO_0004512,5
http://www.ebi.ac.uk/efo/EFO_0005673,5
http://purl.obolibrary.org/obo/GO_1901554,5
http://purl.obolibrary.org/obo/GO_0035456,5
http://purl.obolibrary.org/obo/MONDO_0001730,4
http://purl.obolibrary.org/obo/GO_0014072,4
http://purl.obolibrary.org/obo/MONDO_0001434,4
http://purl.obolibrary.org/obo/GO_1901905,4
http://purl.obolibrary.org/obo/GO_0097366,4
http://www.orpha.net/ORDO/Orphanet_101953,4
http://www.orpha.net/ORDO/Orphanet_93957,3
http://purl.obolibrary.org/obo/MONDO_0019278,3
http://purl.obolibrary.org/obo/MONDO_0004622,3
http://www.ebi.ac.uk/efo/EFO_0009441,3
http://purl.obolibrary.org/obo/MONDO_0001815,3
http://purl.obolibrary.org/obo/GO_0061479,3
http://www.ebi.ac.uk/efo/EFO_0801483,3
http://purl.obolibrary.org/obo/MONDO_0000476,3
http://purl.obolibrary.org/obo/GO_0006954,3
http://purl.obolibrary.org/obo/GO_1990054,3
http://purl.obolibrary.org/obo/GO_0050896,3
http://www.ebi.ac.uk/efo/EFO_0801384,2
http://www.ebi.ac.uk/efo/EFO_0802626,2
http://www.ebi.ac.uk/efo/EFO_1002051,2
http://purl.obolibrary.org/obo/GO_0006950,2
http://purl.obolibrary.org/obo/MONDO_0000166,2
http://purl.obolibrary.org/obo/GO_0072710,2
http://purl.obolibrary.org/obo/MONDO_0011565,2
http://purl.obolibrary.org/obo/MONDO_0004874,2
http://purl.obolibrary.org/obo/MONDO_0004680,2
http://purl.obolibrary.org/obo/MONDO_0004037,2
http://purl.obolibrary.org/obo/MONDO_0001618,2
http://purl.obolibrary.org/obo/MONDO_0041261,2
http://purl.obolibrary.org/obo/GO_1903491,2
http://purl.obolibrary.org/obo/GO_1902522,2
http://purl.obolibrary.org/obo/GO_0042697,1
http://purl.obolibrary.org/obo/GO_0043278,1
http://purl.obolibrary.org/obo/GO_0061478,1
http://www.ebi.ac.uk/efo/EFO_0004777,1
http://purl.obolibrary.org/obo/GO_1901558,1
http://purl.obolibrary.org/obo/GO_1902519,1
http://purl.obolibrary.org/obo/MONDO_0002674,1
http://www.ebi.ac.uk/efo/EFO_0020836,1
http://purl.obolibrary.org/obo/MONDO_0001515,1
